Entity,Code,Year,Deaths - Sex: all - Age: 0 - Variant: estimates
Afghanistan,AFG,1950,109220
Afghanistan,AFG,1951,107971
Afghanistan,AFG,1952,108140
Afghanistan,AFG,1953,108248
Afghanistan,AFG,1954,108241
Afghanistan,AFG,1955,107949
Afghanistan,AFG,1956,108008
Afghanistan,AFG,1957,107895
Afghanistan,AFG,1958,107892
Afghanistan,AFG,1959,107851
Afghanistan,AFG,1960,108152
Afghanistan,AFG,1961,108546
Afghanistan,AFG,1962,109102
Afghanistan,AFG,1963,109864
Afghanistan,AFG,1964,110524
Afghanistan,AFG,1965,111241
Afghanistan,AFG,1966,112140
Afghanistan,AFG,1967,113018
Afghanistan,AFG,1968,113926
Afghanistan,AFG,1969,114832
Afghanistan,AFG,1970,115521
Afghanistan,AFG,1971,116375
Afghanistan,AFG,1972,117053
Afghanistan,AFG,1973,117757
Afghanistan,AFG,1974,118638
Afghanistan,AFG,1975,119034
Afghanistan,AFG,1976,119155
Afghanistan,AFG,1977,118943
Afghanistan,AFG,1978,120475
Afghanistan,AFG,1979,122112
Afghanistan,AFG,1980,118160
Afghanistan,AFG,1981,108707
Afghanistan,AFG,1982,96589
Afghanistan,AFG,1983,92086
Afghanistan,AFG,1984,98616
Afghanistan,AFG,1985,100345
Afghanistan,AFG,1986,90371
Afghanistan,AFG,1987,88266
Afghanistan,AFG,1988,81489
Afghanistan,AFG,1989,80905
Afghanistan,AFG,1990,81591
Afghanistan,AFG,1991,79883
Afghanistan,AFG,1992,79793
Afghanistan,AFG,1993,84453
Afghanistan,AFG,1994,91571
Afghanistan,AFG,1995,94264
Afghanistan,AFG,1996,94967
Afghanistan,AFG,1997,95899
Afghanistan,AFG,1998,96688
Afghanistan,AFG,1999,95338
Afghanistan,AFG,2000,94789
Afghanistan,AFG,2001,89535
Afghanistan,AFG,2002,87703
Afghanistan,AFG,2003,88939
Afghanistan,AFG,2004,87970
Afghanistan,AFG,2005,85305
Afghanistan,AFG,2006,84209
Afghanistan,AFG,2007,81967
Afghanistan,AFG,2008,77989
Afghanistan,AFG,2009,77973
Afghanistan,AFG,2010,76883
Afghanistan,AFG,2011,75297
Afghanistan,AFG,2012,75263
Afghanistan,AFG,2013,74558
Afghanistan,AFG,2014,74429
Afghanistan,AFG,2015,74501
Afghanistan,AFG,2016,72980
Afghanistan,AFG,2017,69977
Afghanistan,AFG,2018,68996
Afghanistan,AFG,2019,68646
Afghanistan,AFG,2020,68452
Afghanistan,AFG,2021,68065
