Entity,Code,Year,Observation value - Indicator: Under-five mortality rate - Sex: Total - Wealth quintile: Total - Unit of measure: Deaths per 100 live births
Afghanistan,AFG,1957,37.245758
Afghanistan,AFG,1958,36.626625
Afghanistan,AFG,1959,36.04348
Afghanistan,AFG,1960,35.45985
Afghanistan,AFG,1961,34.89488
Afghanistan,AFG,1962,34.369637
Afghanistan,AFG,1963,33.836605
Afghanistan,AFG,1964,33.31051
Afghanistan,AFG,1965,32.771313
Afghanistan,AFG,1966,32.265842
Afghanistan,AFG,1967,31.75206
Afghanistan,AFG,1968,31.238415
Afghanistan,AFG,1969,30.712795
Afghanistan,AFG,1970,30.196941
Afghanistan,AFG,1971,29.681622
Afghanistan,AFG,1972,29.143436
Afghanistan,AFG,1973,28.61473
Afghanistan,AFG,1974,28.070423
Afghanistan,AFG,1975,27.541367
Afghanistan,AFG,1976,26.97229
Afghanistan,AFG,1977,26.401194
Afghanistan,AFG,1978,25.811329
Afghanistan,AFG,1979,25.210718
Afghanistan,AFG,1980,24.595182
Afghanistan,AFG,1981,23.968079
Afghanistan,AFG,1982,23.322859
Afghanistan,AFG,1983,22.673306
Afghanistan,AFG,1984,22.027378
Afghanistan,AFG,1985,21.368656
Afghanistan,AFG,1986,20.711054
Afghanistan,AFG,1987,20.047283
Afghanistan,AFG,1988,19.39457
Afghanistan,AFG,1989,18.745173
Afghanistan,AFG,1990,18.105759
Afghanistan,AFG,1991,17.493587
Afghanistan,AFG,1992,16.89626
Afghanistan,AFG,1993,16.3438
Afghanistan,AFG,1994,15.825368
Afghanistan,AFG,1995,15.324498
Afghanistan,AFG,1996,14.858139
Afghanistan,AFG,1997,14.4166155
Afghanistan,AFG,1998,13.988231
Afghanistan,AFG,1999,13.58168
Afghanistan,AFG,2000,13.163922
Afghanistan,AFG,2001,12.737123
Afghanistan,AFG,2002,12.302225
Afghanistan,AFG,2003,11.850808
Afghanistan,AFG,2004,11.403825
Afghanistan,AFG,2005,10.94932
Afghanistan,AFG,2006,10.496947
Afghanistan,AFG,2007,10.056593
Afghanistan,AFG,2008,9.634113
Afghanistan,AFG,2009,9.225695
Afghanistan,AFG,2010,8.837739
Afghanistan,AFG,2011,8.473879
Afghanistan,AFG,2012,8.134068
Afghanistan,AFG,2013,7.815998
Afghanistan,AFG,2014,7.528273
Afghanistan,AFG,2015,7.267698
Afghanistan,AFG,2016,7.023421
Afghanistan,AFG,2017,6.7911606
Afghanistan,AFG,2018,6.5752106
Afghanistan,AFG,2019,6.361594
Afghanistan,AFG,2020,6.155799
Afghanistan,AFG,2021,5.9607553
Afghanistan,AFG,2022,5.767968
Africa,,1932,36.6314
Africa,,1933,35.979073
Africa,,1934,35.288647
Africa,,1935,34.61119
Africa,,1936,33.98208
Africa,,1937,33.93274
Africa,,1938,33.55614
Africa,,1939,33.18233
Africa,,1940,32.892414
Africa,,1941,32.537178
Africa,,1942,32.151352
Africa,,1943,31.71308
Africa,,1944,34.12897
Africa,,1945,34.036633
Africa,,1946,33.65062
Africa,,1947,33.257763
Africa,,1948,32.856827
Africa,,1949,32.35051
Africa,,1950,31.961876
Africa,,1951,29.987225
Africa,,1952,29.198528
Africa,,1953,27.753912
Africa,,1954,26.708904
Africa,,1955,28.881872
Africa,,1956,28.327028
Africa,,1957,27.724983
Africa,,1958,27.150501
Africa,,1959,26.60755
Africa,,1960,26.070627
Africa,,1961,25.822947
Africa,,1962,25.388098
Africa,,1963,25.540987
Africa,,1964,26.660784
Africa,,1965,26.172562
Africa,,1966,25.90758
Africa,,1967,25.28531
Africa,,1968,24.670013
Africa,,1969,24.352896
Africa,,1970,23.972471
Africa,,1971,23.581463
Africa,,1972,23.259144
Africa,,1973,22.754293
Africa,,1974,21.699165
Africa,,1975,21.207758
Africa,,1976,20.702047
Africa,,1977,20.19641
Africa,,1978,19.693964
Africa,,1979,19.20204
Africa,,1980,18.808355
Africa,,1981,18.339819
