Entity,Code,Year,Births attended by skilled health staff (% of total)
Afghanistan,AFG,2000,12.4
Afghanistan,AFG,2003,14.3
Afghanistan,AFG,2006,18.9
Afghanistan,AFG,2008,24
Afghanistan,AFG,2010,34.3
Afghanistan,AFG,2011,38.6
Afghanistan,AFG,2012,39.9
Afghanistan,AFG,2014,45.2
Afghanistan,AFG,2015,50.5
Afghanistan,AFG,2017,53.4
Afghanistan,AFG,2018,58.8
Afghanistan,AFG,2020,61.8
Albania,ALB,1989,92.7
Albania,ALB,1990,93
Albania,ALB,1991,92.6
Albania,ALB,1992,86.4
Albania,ALB,1993,87.2
Albania,ALB,1994,89.1
Albania,ALB,1995,89.1
Albania,ALB,1996,91.2
Albania,ALB,1997,98.8
Albania,ALB,1998,99.1
Albania,ALB,1999,99
Albania,ALB,2000,99.1
Albania,ALB,2001,99
Albania,ALB,2002,98
Albania,ALB,2003,98.8
Albania,ALB,2004,99.3
Albania,ALB,2005,99.8
Albania,ALB,2006,99
Albania,ALB,2009,99.3
Albania,ALB,2018,99.8
Algeria,DZA,1992,76.5
Algeria,DZA,2000,92
Algeria,DZA,2002,95.9
Algeria,DZA,2006,95.2
Algeria,DZA,2013,96.6
Algeria,DZA,2019,98.8
American Samoa,ASM,2002,100
Andorra,AND,2015,100
Andorra,AND,2016,100
Andorra,AND,2017,100
Angola,AGO,1996,22.5
Angola,AGO,2001,44.7
Angola,AGO,2007,49.9
Angola,AGO,2016,49.6
Antigua and Barbuda,ATG,1995,100
Antigua and Barbuda,ATG,1996,100
Antigua and Barbuda,ATG,1998,100
Antigua and Barbuda,ATG,2000,99.9
Antigua and Barbuda,ATG,2001,100
Antigua and Barbuda,ATG,2002,99
Antigua and Barbuda,ATG,2003,99
Antigua and Barbuda,ATG,2004,100
Antigua and Barbuda,ATG,2005,99.9
Antigua and Barbuda,ATG,2006,99.9
Antigua and Barbuda,ATG,2007,100
Antigua and Barbuda,ATG,2008,100
Antigua and Barbuda,ATG,2009,100
Antigua and Barbuda,ATG,2010,100
Antigua and Barbuda,ATG,2012,100
Antigua and Barbuda,ATG,2013,100
Antigua and Barbuda,ATG,2014,100
Antigua and Barbuda,ATG,2015,100
Antigua and Barbuda,ATG,2017,100
Antigua and Barbuda,ATG,2020,99
Argentina,ARG,1990,96.9
Argentina,ARG,1992,95.8
Argentina,ARG,1995,98.5
Argentina,ARG,1997,97.2
Argentina,ARG,1998,97.5
Argentina,ARG,1999,97.5
Argentina,ARG,2000,99.1
Argentina,ARG,2001,98.4
Argentina,ARG,2002,98.9
Argentina,ARG,2003,98.7
Argentina,ARG,2004,99.1
Argentina,ARG,2005,99.1
Argentina,ARG,2006,99.4
Argentina,ARG,2007,99.4
Argentina,ARG,2008,94.8
Argentina,ARG,2009,97.9
Argentina,ARG,2010,95
Argentina,ARG,2011,97.1
Argentina,ARG,2012,98.2
Argentina,ARG,2013,97
Argentina,ARG,2014,99.6
Argentina,ARG,2015,99.6
Argentina,ARG,2016,98.4
Argentina,ARG,2017,93.9
Argentina,ARG,2018,99.5
Argentina,ARG,2019,99.6
Argentina,ARG,2020,98.8
Armenia,ARM,1989,99.7
Armenia,ARM,1990,99.7
Armenia,ARM,1991,99.7
Armenia,ARM,1992,98.3
Armenia,ARM,1993,95.5
Armenia,ARM,1994,93.3
Armenia,ARM,1995,93.1
Armenia,ARM,1996,95.7
Armenia,ARM,1997,96.4
Armenia,ARM,1998,97.4
Armenia,ARM,1999,98.8
Armenia,ARM,2000,96.8
Armenia,ARM,2001,98.4
Armenia,ARM,2002,98.8
Armenia,ARM,2003,99.2
Armenia,ARM,2004,99.5
Armenia,ARM,2005,97.8
Armenia,ARM,2006,99.7
Armenia,ARM,2007,99.9
Armenia,ARM,2008,99.9
Armenia,ARM,2009,100
Armenia,ARM,2010,99.5
Armenia,ARM,2011,100
Armenia,ARM,2012,100
Armenia,ARM,2013,100
Armenia,ARM,2014,100
Armenia,ARM,2016,99.8
Aruba,ABW,2002,96
Australia,AUS,1991,99.6
Australia,AUS,1992,99.3
Australia,AUS,1993,99.3
Australia,AUS,1994,99.4
Australia,AUS,1995,99.3
Australia,AUS,1996,99.3
Australia,AUS,1997,99.3
Australia,AUS,1998,99.3
Australia,AUS,1999,99.3
Australia,AUS,2000,99.3
Australia,AUS,2001,99.3
Australia,AUS,2002,99.3
Australia,AUS,2003,99.3
Australia,AUS,2004,99.3
Australia,AUS,2005,99.4
Australia,AUS,2006,99.3
Australia,AUS,2007,99.2
Australia,AUS,2008,99.1
Australia,AUS,2009,99.1
Australia,AUS,2010,99.1
Australia,AUS,2011,99.1
Australia,AUS,2012,99.2
Australia,AUS,2013,99
Australia,AUS,2014,99.8
Australia,AUS,2015,98.8
Australia,AUS,2016,98.8
Australia,AUS,2017,99.4
Australia,AUS,2018,98.7
Australia,AUS,2019,98.8
Austria,AUT,1993,100
Austria,AUT,1996,98.2
Austria,AUT,1997,98.2
Austria,AUT,1998,98.3
Austria,AUT,1999,98.3
Austria,AUT,2000,98.3
Austria,AUT,2001,98.3
Austria,AUT,2002,98.4
Austria,AUT,2003,98.4
Austria,AUT,2004,98.4
Austria,AUT,2005,98.6
Austria,AUT,2006,98.6
Austria,AUT,2007,98.5
Austria,AUT,2008,98.6
Austria,AUT,2009,98.6
Austria,AUT,2010,98.5
Austria,AUT,2011,98.6
Austria,AUT,2012,98.5
Austria,AUT,2013,98.5
Austria,AUT,2014,98.5
Austria,AUT,2015,98.5
Austria,AUT,2016,98.4
Austria,AUT,2017,98.4
Austria,AUT,2018,98.4
Austria,AUT,2019,98.4
Austria,AUT,2020,98.1
Azerbaijan,AZE,1989,97.3
Azerbaijan,AZE,1990,97.3
Azerbaijan,AZE,1991,97.2
Azerbaijan,AZE,1992,96.5
Azerbaijan,AZE,1993,96.3
Azerbaijan,AZE,1994,99.6
Azerbaijan,AZE,1995,91.5
Azerbaijan,AZE,1996,87.9
Azerbaijan,AZE,1997,90.4
Azerbaijan,AZE,1998,91.5
Azerbaijan,AZE,1999,92.4
Azerbaijan,AZE,2000,80.7
Azerbaijan,AZE,2001,88
Azerbaijan,AZE,2002,94
Azerbaijan,AZE,2003,95.8
Azerbaijan,AZE,2004,95.9
Azerbaijan,AZE,2005,94.4
Azerbaijan,AZE,2006,88
Azerbaijan,AZE,2007,93
Azerbaijan,AZE,2008,98
Azerbaijan,AZE,2009,99.8
Azerbaijan,AZE,2010,99.4
Azerbaijan,AZE,2011,97.2
Azerbaijan,AZE,2012,99.8
Azerbaijan,AZE,2013,99.9
Azerbaijan,AZE,2014,99.9
Azerbaijan,AZE,2015,99.8
Azerbaijan,AZE,2016,99.8
Azerbaijan,AZE,2017,99.8
Azerbaijan,AZE,2018,99.39
Azerbaijan,AZE,2019,99.9
Azerbaijan,AZE,2020,99.9
Bahamas,BHS,1990,99
Bahamas,BHS,1995,99
Bahamas,BHS,1997,99
Bahamas,BHS,1998,99
Bahamas,BHS,1999,99
Bahamas,BHS,2000,99
