,Entity,Code,Year,Share of population covered by health insurance (ILO (2014)),Under-fifteen mortality rate,Deaths - Sex: all - Age: 0 - Variant: estimates,Observation value - Indicator: Under-five mortality rate - Sex: Total - Wealth quintile: Total - Unit of measure: Deaths per 100 live births,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Estimated maternal deaths,Births attended by skilled health staff (% of total),MCV1 (% of one-year-olds immunized),Pol3 (% of one-year-olds immunized),DTP3 (% of one-year-olds immunized)
0,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Other noncommunicable diseases,CHILDCAUSE_CH16,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
1,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Injuries,CHILDCAUSE_CH17,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
2,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,HIV/AIDS,CHILDCAUSE_CH2,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
3,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
4,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Tetanus,CHILDCAUSE_CH5,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
5,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Measles,CHILDCAUSE_CH6,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
6,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Meningitis/encephalitis,CHILDCAUSE_CH7,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
7,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Malaria,CHILDCAUSE_CH8,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
8,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Acute lower respiratory infections,CHILDCAUSE_CH9,,,,,,,0.04,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
9,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Birth asphyxia and birth trauma,CHILDCAUSE_CH11,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
10,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Sepsis and other infectious conditions of the newborn,CHILDCAUSE_CH12,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
11,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,HIV/AIDS,CHILDCAUSE_CH2,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
12,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,,,,0.032,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
13,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Tetanus,CHILDCAUSE_CH5,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
