Date,Machine_ID,Assembly_Line_No,Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature,Spindle_Bearing_Temperature,Spindle_Vibration,Tool_Vibration,Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN),Downtime
31-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,71.04,6.933724915,6.284964506,25.6,46.0,33.4,1.291,26.492,25892.0,335.0,24.05532601,3.58,Machine_Failure
31-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,125.33,4.936891865,6.19673253,35.3,47.4,34.6,1.382,25.274,19856.0,368.0,14.20288973,2.68,Machine_Failure
31-12-2021,Makino-L3-Unit1-2015,Shopfloor-L3,71.12,6.839413159,6.655448451,13.1,40.7,33.0,1.319,30.608,19851.0,325.0,24.04926704,3.55,Machine_Failure
31-05-2022,Makino-L2-Unit1-2015,Shopfloor-L2,139.34,4.574382007,6.560393963,24.4,44.2,40.6,0.618,30.791,18461.0,360.0,25.86002925,3.55,Machine_Failure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,60.51,6.893181921,6.141237748,4.1,47.3,31.4,0.983,25.516,26526.0,354.0,25.51587386,3.55,Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,137.37,5.918357337,7.228066182,5.4,48.0,32.7,0.903,25.597,27613.0,319.0,25.52133005,3.55,Machine_Failure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,135.93,6.560332199,6.710999273,19.3,48.8,37.4,1.24,32.138,26605.0,438.0,25.45465209,3.58,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,127.7151635,5.060708564,6.002229092,20.8,45.8,37.5,1.125,19.823,14266.0,334.0,34.97300419,2.02,No_Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,123.618456,5.074379701,6.039523625,4.5,51.5,32.1,0.69,16.972,20413.0,278.0,32.51929855,2.88,No_Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,134.02,5.567856573,6.733095792,14.0,47.9,35.2,0.748,36.601,20504.0,379.0,25.61856721,3.93,Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,71.71,5.358623507,6.525744181,34.3,43.0,32.4,0.671,25.069,17919.0,396.0,25.46144,3.67,Machine_Failure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,134.54,4.566853902,5.758371467,11.5,46.2,37.6,0.661,18.75,21951.0,366.0,25.61306937,3.59,Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,55.53,6.960635908,6.382844492,14.7,47.2,36.2,0.896,29.317,25528.0,364.0,25.46415618,3.69,Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,61.73,4.62776082,6.082861294,30.3,50.2,28.0,0.884,27.513,18660.0,328.0,25.58424437,3.55,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,80.27,4.622771809,6.335997361,29.8,51.2,31.1,0.438,26.668,18644.0,349.0,25.60620039,3.67,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,142.36,4.624427746,7.13147428,28.7,44.9,31.0,0.46,33.567,18648.0,341.0,25.60070785,3.69,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,63.76,4.62478014,6.537125848,27.0,45.1,38.6,0.899,35.34,18650.0,297.0,25.59796247,3.67,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,141.14,4.626567992,6.870613037,26.4,52.6,33.8,1.118,21.192,18654.0,287.0,25.59247346,3.61,Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,93.65,4.84252053,6.084632707,19.5,52.3,35.2,1.211,21.886,23432.0,434.0,25.46551448,3.67,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,74.86,6.863944117,6.164535184,15.7,44.5,38.7,1.428,20.86,21951.0,346.0,25.52269447,2.49,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,80.34,4.86086247,6.751147706,6.9,48.1,38.3,1.834,29.718,27957.0,409.0,25.46008213,3.61,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,139.6712071,5.054399663,6.761903526,8.7,48.2,41.0,1.168,27.672,20303.0,315.0,23.51386495,2.83,No_Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,91.5,4.566853902,6.411198621,4.9,47.2,38.1,0.904,16.141,26605.0,266.0,25.46687293,3.13,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,148.662548,5.057724885,6.227789328,11.9,49.4,35.3,0.633,24.257,20310.0,355.0,23.50576071,2.68,No_Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,131.0481918,5.051942984,7.05011875,5.7,50.4,36.7,1.024,28.519,20298.0,241.0,23.51965711,2.9,No_Machine_Failure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,145.2990279,5.04958003,5.761430767,6.8,48.3,36.0,1.123,29.251,20297.0,429.0,23.52081588,2.69,No_Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,98.7,6.839413159,6.337634572,24.4,53.7,35.0,0.742,34.247,18638.0,356.0,25.61444361,3.49,Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,170.0894611,4.979214772,5.399351647,7.4,49.7,34.5,0.899,28.348,20018.0,343.0,23.84863623,2.71,No_Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,62.34,6.839413159,6.591627842,9.0,45.7,31.6,0.657,27.869,20504.0,368.0,25.45193794,2.73,Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,111.7502053,4.978056686,6.343570586,9.9,44.5,44.1,0.897,39.846,20016.0,336.0,23.85101918,2.58,No_Machine_Failure
31-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,127.5689918,4.979234549,6.849350104,10.6,43.2,30.5,0.923,29.888,20018.0,386.0,23.84863623,2.82,No_Machine_Failure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,111.2860766,5.058904048,6.615998908,12.2,48.2,31.5,1.183,18.113,20314.0,432.0,23.50113222,2.62,No_Machine_Failure
31-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,124.9137633,5.072330576,6.087501061,21.0,46.0,26.9,0.939,26.958,13272.0,333.0,23.39288514,2.64,No_Machine_Failure
31-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,125.95,6.863944117,6.547685882,25.6,42.0,38.6,0.712,23.668,18755.0,278.0,25.45465209,3.91,Machine_Failure
31-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,72.38,5.567856573,6.661836583,9.9,56.5,40.0,1.036,36.234,27613.0,353.0,24.46208239,3.33,Machine_Failure
31-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,78.33,6.560332199,5.858978605,9.7,48.1,35.8,0.946,32.774,26526.0,302.0,24.472114,2.71,Machine_Failure
31-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,128.8976615,5.227383809,7.015651803,22.4,48.5,39.3,1.043,21.366,15217.0,378.0,35.5812209,2.17,No_Machine_Failure
31-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,96.96,4.819676197,6.572712778,28.7,55.0,38.6,0.858,26.215,19440.0,319.0,14.20288973,3.49,Machine_Failure
31-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,145.98,4.82340648,5.890691916,26.4,38.8,31.0,0.849,29.791,19457.0,374.0,24.53625944,3.93,Machine_Failure
31-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,51.16,4.852677086,6.383652056,27.0,41.4,41.6,1.006,25.207,19577.0,354.0,24.38586096,3.59,Machine_Failure
31-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,120.6057212,5.229820438,6.270485821,22.4,48.2,32.9,1.661,37.604,14152.0,308.0,33.92336502,3.0,No_Machine_Failure
31-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,85.82,4.822650137,6.167180418,27.0,51.6,28.7,1.657,27.527,19456.0,355.0,14.10999444,2.68,Machine_Failure
31-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,58.6,6.820962547,6.96676221,30.3,52.7,38.9,0.961,35.756,19443.0,450.0,17.89931102,2.86,Machine_Failure
31-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,127.4593591,5.229753537,6.417340132,22.4,51.8,37.1,1.13,20.662,17726.0,278.0,35.58033366,1.85,No_Machine_Failure
30-12-2021,Makino-L3-Unit1-2015,Shopfloor-L3,103.5761466,5.130321956,7.039286625,21.6,45.5,30.5,1.657,21.132,14152.0,390.0,23.13778898,2.92,No_Machine_Failure
30-12-2021,Makino-L1-Unit1-2013,Shopfloor-L1,57.3,4.916312723,5.792243086,29.8,44.9,33.8,0.555,26.314,19784.0,423.0,16.96410507,2.75,Machine_Failure
30-04-2022,Makino-L3-Unit1-2015,Shopfloor-L3,107.9309707,5.098391373,7.0917116,21.2,44.7,39.7,1.325,21.182,19197.0,413.0,31.62033518,1.91,No_Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,116.0745108,5.095632061,6.325828562,21.2,47.8,37.0,0.951,26.227,18436.0,437.0,30.51400825,1.89,No_Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,121.6326698,5.093945332,7.315732093,21.2,43.4,37.9,1.241,28.863,17726.0,337.0,35.58033366,1.95,No_Machine_Failure
30-04-2022,Makino-L3-Unit1-2015,Shopfloor-L3,134.2142583,5.095720292,6.223416336,21.2,51.1,35.3,0.491,19.805,16198.0,462.0,23.3004051,1.99,No_Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,135.8119306,5.094040107,6.818870944,21.2,44.4,27.4,0.762,30.761,15217.0,236.0,23.31861476,1.88,No_Machine_Failure
