CODE,LINE ITEM,AMOUNT,DEPARTMENT,MINISTRY
21010101,SALARY,2345306769,STATE HOUSE - HQTRS,PRESIDENCY
21020111,REGULAR ALLOWANCES,800217416,STATE HOUSE - HQTRS,PRESIDENCY
21020201,NHIS,117265338,STATE HOUSE - HQTRS,PRESIDENCY
21020202,CONTRIBUTORY PENSION - EMPLOYER'S CONTRIBUTION,234530677,STATE HOUSE - HQTRS,PRESIDENCY
22020101,LOCAL TRAVEL & TRANSPORT: TRAINING,275735543,STATE HOUSE - HQTRS,PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,293302355,STATE HOUSE - HQTRS,PRESIDENCY
22020104,INTERNATIONAL TRAVEL & TRANSPORT: OTHERS,2864757769,STATE HOUSE - HQTRS,PRESIDENCY
22020201,ELECTRICITY CHARGES,311085128,STATE HOUSE - HQTRS,PRESIDENCY
22020202,TELEPHONE CHARGES,3734578,STATE HOUSE - HQTRS,PRESIDENCY
22020203,INTERNET ACCESS CHARGES,22525158,STATE HOUSE - HQTRS,PRESIDENCY
22020205,WATER RATES,15920683,STATE HOUSE - HQTRS,PRESIDENCY
22020206,SEWERAGE CHARGES,12008947,STATE HOUSE - HQTRS,PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,36078362,STATE HOUSE - HQTRS,PRESIDENCY
22020302,BOOKS,2528168,STATE HOUSE - HQTRS,PRESIDENCY
22020303,NEWSPAPERS,10343883,STATE HOUSE - HQTRS,PRESIDENCY
22020304,MAGAZINES & PERIODICALS,2116069,STATE HOUSE - HQTRS,PRESIDENCY
22020305,PRINTING OF NON SECURITY DOCUMENTS,17426915,STATE HOUSE - HQTRS,PRESIDENCY
22020306,PRINTING OF SECURITY DOCUMENTS,8397827,STATE HOUSE - HQTRS,PRESIDENCY
22020307,DRUGS & MEDICAL SUPPLIES,43616193,STATE HOUSE - HQTRS,PRESIDENCY
22020309,UNIFORMS & OTHER CLOTHING,4162653,STATE HOUSE - HQTRS,PRESIDENCY
22020311,FOOD STUFF / CATERING MATERIALS SUPPLIES,177119471,STATE HOUSE - HQTRS,PRESIDENCY
22020401,MAINTENANCE OF MOTOR VEHICLE / TRANSPORT EQUIPMENT,220529223,STATE HOUSE - HQTRS,PRESIDENCY
22020402,MAINTENANCE OF OFFICE FURNITURE,9737235,STATE HOUSE - HQTRS,PRESIDENCY
22020403,MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS,102447964,STATE HOUSE - HQTRS,PRESIDENCY
22020404,MAINTENANCE OF OFFICE / IT EQUIPMENTS,23656820,STATE HOUSE - HQTRS,PRESIDENCY
22020405,MAINTENANCE OF PLANTS/GENERATORS,17283915,STATE HOUSE - HQTRS,PRESIDENCY
22020406,OTHER MAINTENANCE SERVICES,39412866,STATE HOUSE - HQTRS,PRESIDENCY
22020501,LOCAL TRAINING,131832134,STATE HOUSE - HQTRS,PRESIDENCY
22020604,RESIDENTIAL RENT,63891883,STATE HOUSE - HQTRS,PRESIDENCY
22020701,FINANCIAL CONSULTING,10585069,STATE HOUSE - HQTRS,PRESIDENCY
22020703,LEGAL SERVICES,2511508,STATE HOUSE - HQTRS,PRESIDENCY
22020801,MOTOR VEHICLE FUEL COST,156661718,STATE HOUSE - HQTRS,PRESIDENCY
22020803,PLANT / GENERATOR FUEL COST,1989579359,STATE HOUSE - HQTRS,PRESIDENCY
22020806,COOKING GAS/FUEL COST,22229287,STATE HOUSE - HQTRS,PRESIDENCY
22021001,REFRESHMENT & MEALS,150073729,STATE HOUSE - HQTRS,PRESIDENCY
22021002,HONORARIUM & SITTING ALLOWANCE,2118521128,STATE HOUSE - HQTRS,PRESIDENCY
22021003,PUBLICITY & ADVERTISEMENTS,298208539,STATE HOUSE - HQTRS,PRESIDENCY
22021004,MEDICAL EXPENSES,13161803,STATE HOUSE - HQTRS,PRESIDENCY
22021006,POSTAGES & COURIER SERVICES,1768566,STATE HOUSE - HQTRS,PRESIDENCY
22021007,WELFARE PACKAGES,500809096,STATE HOUSE - HQTRS,PRESIDENCY
22021008,SUBSCRIPTION TO PROFESSIONAL BODIES,8353054,STATE HOUSE - HQTRS,PRESIDENCY
22021009,SPORTING ACTIVITIES,13028173,STATE HOUSE - HQTRS,PRESIDENCY
22021014,ANNUAL BUDGET EXPENSES AND ADMINISTRATION,15264537,STATE HOUSE - HQTRS,PRESIDENCY
22021016,SERVICOM,26854209,STATE HOUSE - HQTRS,PRESIDENCY
22021017,ANTI-CORRUPTION,4076976,STATE HOUSE - HQTRS,PRESIDENCY
22021018,GENDER,19269839,STATE HOUSE - HQTRS,PRESIDENCY
23010105,PURCHASE OF MOTOR VEHICLES,4760035960,STATE HOUSE - HQTRS,PRESIDENCY
23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,56079148,STATE HOUSE - HQTRS,PRESIDENCY
23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,17496978,STATE HOUSE - HQTRS,PRESIDENCY
23010126,PURCHASE OF SPORTING / GAMING EQUIPMENT,29548838,STATE HOUSE - HQTRS,PRESIDENCY
